"COMMENT";"CREATEDAT";"ID";"OWNERUSERNAME";"PARAM";"RUNID";"UNIT";"VALUE"
"l,vkjhbg";"2026-04-29T08:45:48.893378400Z";"1";"SYSTEM";"PH";"1";"ml";"7.0"
"";"2026-04-29T08:46:13.416508700Z";"2";"SYSTEM";"NITRATE";"1";"nl";"89.0"
"cfvgbhjnmk";"2026-04-29T08:46:33.490676500Z";"3";"SYSTEM";"PH";"2";"ml";"3.0"
"";"2026-04-29T08:46:50.958196900Z";"4";"SYSTEM";"NITRATE";"2";"mol";"8.0"
"sedfb";"2026-04-29T08:47:19.762400800Z";"5";"SYSTEM";"CONDUCTIVITY";"3";"ddd";"78.0"
"ccffv";"2026-04-29T08:47:37.278475300Z";"6";"SYSTEM";"PH";"4";"mmol";"9.0"
"";"2026-04-30T11:45:38.782332Z";"7";"SYSTEM";"CONDUCTIVITY";"3";"kk";"55.0"
"";"2026-05-02T08:26:56.115040600Z";"8";"SYSTEM";"CONDUCTIVITY";"3";"вапр";"4455.0"
"";"2026-05-02T08:27:29.544977500Z";"9";"SYSTEM";"CONDUCTIVITY";"1";"ап";"474.0"
"";"2026-05-02T09:11:19.347077800Z";"10";"SYSTEM";"PH";"1";"па";"44.0"
"";"2026-05-02T09:30:31.034763700Z";"11";"SYSTEM";"CONDUCTIVITY";"2";"UNITLESS";"44444.0"
